,CTL1,CTL12,CTL13,HIV1_Bal1,HIV1_Bal2,HIV1_Bal3,HIV1.LTA1,HIV1.LTA2,HIV1.LTA3
ARSD,3,0,391,0,0,401,0,0,465
PNPLA4,1372,1148,784,856,901,853,949,1025,674
MYH13,0,2,0,3,0,2,0,0,0
ADIPOR2,30395,25688,14468,18279,18810,15483,21860,21709,12417
CDKL3,260,206,101,171,206,194,182,210,130
UPP2,2,4,0,3,1,0,1,0,3
PRSS21,0,0,0,0,0,0,0,0,0
MARK4,2175,1799,954,1383,1330,1178,1560,1715,1080
PROM1,1,11,3,2,2,2,2,0,0
CCDC124,2395,2439,1389,1478,1969,1546,1764,1731,1424
CEACAM21,1,0,0,0,0,0,0,0,0
PAFAH1B1,34922,31799,17448,21604,21953,19479,24952,24577,15368
NOS2,10,22,5,9,19,8,21,8,4
DNAH9,0,0,0,1,0,2,0,0,2
KIAA0100,20046,16953,15313,11611,12132,18113,13594,14253,13604
SLC13A2,5,0,0,0,3,1,1,1,4
GAS7,7,8,31,5,4,35,6,12,59
TRAPPC6A,295,301,52,170,198,56,235,417,79
MATK,7,1,0,4,9,1,4,6,4
CEACAM7,0,0,0,0,0,0,0,0,0
CD79B,96,79,60,68,66,95,60,67,111
SCN4A,4,3,4,3,0,11,1,5,10
ST7L,1734,1407,880,974,1196,1060,1164,1281,838
TKTL1,0,1,0,0,1,0,1,0,1
PAX6,398,315,46,283,219,44,262,279,60
RPUSD1,403,557,282,285,471,338,434,423,321
RHBDF1,998,1002,464,643,686,506,772,930,514
LUC7L,1796,1699,809,1176,1398,998,1380,1342,790
CACNA2D2,813,816,281,458,584,382,536,805,402
BAIAP3,58,70,19,47,49,24,61,95,40
TSR3,573,691,420,432,576,540,525,553,438
PIGQ,838,1164,325,604,724,429,732,1027,431
CRAMP1,1403,1191,635,953,926,829,970,1020,608
TEAD3,3438,3359,1943,2141,2143,2210,2402,2752,1550
SELE,0,0,0,0,1,1,0,1,1
DNAJC11,9321,7681,4462,5339,6036,5360,6442,5841,3886
FMO3,1,2,0,2,0,0,0,4,0
MYLIP,1231,927,329,765,748,374,892,1158,522
NOX1,95,61,53,55,92,40,92,83,32
E2F2,2568,2194,839,1542,1794,1245,1858,2237,1024
PSMB1,38762,32872,21219,23554,25000,22207,28066,23968,18180
SYN1,11,2,13,10,13,7,9,9,2
JARID2,2981,2761,1782,1835,2094,1806,2276,2421,1717
CDKL5,2893,2780,3113,1735,1805,3364,2045,2065,2207
CAMK1G,104,52,1,56,60,16,66,92,11
CDK11A,1071,921,569,645,764,721,718,812,555
NADK,3277,3135,1832,1931,2198,2133,2352,2621,1821
TFAP2B,0,0,0,0,0,0,0,0,0
TFAP2D,0,0,0,0,0,0,0,0,0
DLEC1,4,6,1,5,9,1,2,9,2
CYTH3,7131,7625,5041,4456,4892,5527,5060,5846,4483
ADAM22,1021,599,41,591,483,69,741,1066,82
SYPL1,24816,19639,13118,15139,14376,14629,17594,16223,12456
CYB561,364,328,520,281,254,633,302,313,559
SPAG9,26754,23374,17021,15891,16913,19417,19376,19610,15987
CELSR3,2794,2621,1672,1636,1962,2299,1931,2403,1742
AASS,7864,6278,4537,4643,4590,5267,5803,6768,4755
PLEKHG6,56,36,19,37,36,18,46,41,14
SS18L2,2210,1613,960,1350,1176,1068,1642,1526,934
MPND,900,914,491,539,652,621,731,1056,782
MGST1,91,55,211,48,37,237,84,95,205
CRY1,6036,5565,3304,3823,3969,3491,4352,4029,2624
PGLYRP1,10,5,3,1,10,9,12,18,7
NFIX,6727,6242,3977,4074,4499,4658,4819,5215,3912
ST3GAL1,1983,1743,1573,1141,1212,2118,1308,1348,1361
MMP25,94,145,17,75,73,21,100,112,17
IL32,2823,2532,2060,1885,1899,2245,2041,2382,1429
PKD1,1446,1676,791,1012,1302,1040,1163,1599,898
MAPK8IP2,96,78,2,37,85,16,83,69,6
MED24,5552,4936,2921,3553,3781,3571,3928,4917,3080
RHOBTB2,3119,2903,2102,1938,2354,2669,2237,2690,2262
HEATR5B,4472,4008,4589,2758,2739,5320,3171,3365,4168
SEC62,19948,16229,9957,11860,11957,11396,14268,13788,8918
RPS20,32924,30798,18843,20657,22743,20717,25725,24549,20507
CSDE1,96745,85574,57530,58363,60860,61328,68454,64682,49458
UBE3C,23214,19872,18005,14029,14543,19918,16673,14611,15080
REV3L,9514,8274,5682,5703,5782,6186,6891,7324,5342
TENM1,10,7,7,2,10,3,5,9,5
PAX7,0,0,0,0,0,0,0,1,3
MASP2,132,113,53,96,77,46,90,117,35
IYD,1,0,0,0,0,0,0,0,0
FAM76A,1171,1013,773,663,760,872,884,966,748
TRAF3IP3,14,16,3,9,7,4,2,12,6
POMT2,1787,1427,594,1071,1216,749,1114,1201,551
VTA1,11749,10061,5854,7178,7410,6519,8409,7954,5234
MLXIPL,5,22,0,6,7,6,11,16,2
BAZ1B,46970,38124,27243,27519,29267,33334,32678,31578,26719
RANBP9,8757,7479,4292,5362,5254,4741,6348,6663,4103
